,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,City_FC,HWY_FC,COMB_FC,COMB_MPG_FC,CO2EMISSIONS,Diesel,Ethanol,Gasoline,Prem_Gasoline
87,2014,BMW,335i,COMPACT,3.0,6,M6,11.8,7.9,10.0,28,230,0,0,0,1
88,2014,BMW,335i xDRIVE,COMPACT,3.0,6,A8,11.7,7.8,9.9,29,228,0,0,0,1
89,2014,BMW,335i xDRIVE,COMPACT,3.0,6,M6,11.9,8.3,10.3,27,237,0,0,0,1
90,2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,11.9,8.0,10.1,28,232,0,0,0,1
91,2014,BMW,428i COUPE,COMPACT,2.0,4,A8,10.0,6.5,8.4,34,193,0,0,0,1
92,2014,BMW,428i COUPE,COMPACT,2.0,4,M6,10.4,6.7,8.7,32,200,0,0,0,1
93,2014,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,10.6,7.2,9.1,31,209,0,0,0,1
94,2014,BMW,435i COUPE,COMPACT,3.0,6,A8,11.4,7.3,9.6,29,221,0,0,0,1
95,2014,BMW,435i COUPE,COMPACT,3.0,6,M6,11.8,7.9,10.0,28,230,0,0,0,1
96,2014,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,11.7,7.8,9.9,29,228,0,0,0,1
97,2014,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,11.9,8.3,10.3,27,237,0,0,0,1
98,2014,BMW,528i,MID-SIZE,2.0,4,A8,10.2,7.0,8.8,32,202,0,0,0,1
99,2014,BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,10.6,7.2,9.1,31,209,0,0,0,1
100,2014,BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,9.2,6.4,7.9,36,213,1,0,0,0
101,2014,BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,11.9,8.0,10.1,28,232,0,0,0,1
102,2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,12.5,8.6,10.7,26,246,0,0,0,1
103,2014,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,14.4,9.6,12.2,23,281,0,0,0,1
104,2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
105,2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,11.9,8.0,10.1,28,232,0,0,0,1
106,2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
107,2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,14.4,9.6,12.2,23,281,0,0,0,1
108,2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
109,2014,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,12.5,8.6,10.7,26,246,0,0,0,1
110,2014,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
111,2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
112,2014,BMW,760Li,FULL-SIZE,6.0,12,A8,18.7,11.5,15.5,18,356,0,0,0,1
113,2014,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,9.2,7.1,8.3,34,191,0,0,0,1
114,2014,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,10.5,7.9,9.3,30,214,0,0,0,1
115,2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,10.5,7.6,9.2,31,212,0,0,0,1
116,2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
117,2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,15.0,9.8,12.7,22,292,0,0,0,1
118,2014,BMW,M5,MID-SIZE,4.4,8,AM7,17.3,11.5,14.7,19,338,0,0,0,1
119,2014,BMW,M5,MID-SIZE,4.4,8,M6,16.2,10.9,13.8,20,317,0,0,0,1
120,2014,BMW,M6,COMPACT,4.4,8,AM7,17.3,11.5,14.7,19,338,0,0,0,1
121,2014,BMW,M6,COMPACT,4.4,8,M6,16.2,10.9,13.8,20,317,0,0,0,1
122,2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,17.3,11.5,14.7,19,338,0,0,0,1
123,2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,16.2,10.9,13.8,20,317,0,0,0,1
124,2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,17.3,11.5,14.7,19,338,0,0,0,1
125,2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,16.2,10.9,13.8,20,317,0,0,0,1
126,2014,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,0,0,0,1
127,2014,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,13.2,8.9,11.3,25,260,0,0,0,1
128,2014,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,11.2,8.5,10.0,28,230,0,0,0,1
129,2014,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,12.6,9.1,11.0,26,253,0,0,0,1
130,2014,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,12.9,8.8,11.1,25,255,0,0,0,1
131,2014,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,16.3,10.9,13.9,20,320,0,0,0,1
132,2014,BMW,X6 M,SUV - STANDARD,4.4,8,A6,18.1,13.7,16.1,18,370,0,0,0,1
133,2014,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,13.6,9.8,11.9,24,274,0,0,0,1
134,2014,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,16.4,11.3,14.1,20,324,0,0,0,1
135,2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,10.8,7.1,9.1,31,209,0,0,0,1
136,2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,10.4,6.7,8.7,32,200,0,0,0,1
137,2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,13.7,10.1,12.1,23,278,0,0,0,1
138,2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,12.7,9.0,11.0,26,253,0,0,0,1
139,2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,13.7,10.1,12.1,23,278,0,0,0,1
140,2014,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,14.3,9.9,12.3,23,283,0,0,1,0
141,2014,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,14.6,10.2,12.6,22,290,0,0,1,0
142,2014,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,9.5,7.2,8.5,33,196,0,0,1,0
143,2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,10.2,8.0,9.2,31,212,0,0,1,0
144,2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,13.7,8.7,11.5,25,264,0,0,1,0
145,2014,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,18.4,12.2,15.6,18,250,0,1,0,0
146,2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,13.7,8.9,11.5,25,264,0,0,1,0
147,2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,19.4,13.0,16.5,17,264,0,1,0,0
148,2014,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,9.6,6.5,8.2,34,189,0,0,1,0
149,2014,BUICK,REGAL,MID-SIZE,2.0,4,AS6,11.5,7.9,9.9,29,228,0,0,0,1
150,2014,BUICK,REGAL,MID-SIZE,2.0,4,M6,11.6,7.5,9.8,29,225,0,0,0,1
151,2014,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,12.3,8.7,10.7,26,246,0,0,0,1
152,2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,9.6,6.5,8.2,34,189,0,0,1,0
153,2014,BUICK,VERANO,COMPACT,2.0,4,AS6,11.5,7.9,9.9,29,228,0,0,0,1
154,2014,BUICK,VERANO,COMPACT,2.0,4,M6,11.6,7.5,9.8,29,225,0,0,0,1
155,2014,BUICK,VERANO,COMPACT,2.4,4,AS6,11.3,7.4,9.5,30,218,0,0,1,0
156,2014,CADILLAC,ATS,COMPACT,2.0,4,AS6,11.3,7.5,9.6,29,221,0,0,0,1
157,2014,CADILLAC,ATS,COMPACT,2.0,4,M6,12.1,7.9,10.2,28,235,0,0,0,1
158,2014,CADILLAC,ATS,COMPACT,2.5,4,AS6,10.5,7.2,9.0,31,207,0,0,1,0
159,2014,CADILLAC,ATS,COMPACT,3.6,6,AS6,12.8,8.5,10.9,26,251,0,0,1,0
160,2014,CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,11.8,8.1,10.1,28,232,0,0,0,1
161,2014,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,13.1,9.0,11.3,25,260,0,0,1,0
162,2014,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,13.2,8.7,11.2,25,258,0,0,1,0
163,2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,13.3,9.0,11.4,25,262,0,0,1,0
164,2014,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,11.9,7.9,10.1,28,232,0,0,0,1
165,2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,12.9,8.2,10.8,26,248,0,0,1,0
166,2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,12.6,8.5,10.8,26,248,0,0,0,1
167,2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,13.1,9.0,11.3,25,260,0,0,1,0
168,2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,15.1,9.9,12.8,22,294,0,0,0,1
169,2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,12.7,8.9,11.0,26,253,0,0,1,0
170,2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,13.3,8.9,11.3,25,260,0,0,1,0
171,2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,12.8,9.1,11.1,25,255,0,0,1,0
172,2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,13.3,9.0,11.4,25,262,0,0,1,0
173,2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,19.7,12.9,16.6,17,382,0,0,0,1
174,2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,16.7,12.5,14.8,19,340,0,0,0,1
175,2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,19.7,12.9,16.6,17,382,0,0,0,1
176,2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,16.7,12.5,14.8,19,340,0,0,0,1
177,2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,19.7,12.9,16.6,17,382,0,0,0,1
178,2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,16.7,12.5,14.8,19,340,0,0,0,1
179,2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,17.0,11.8,14.7,19,338,0,0,0,1
180,2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,23.3,16.1,20.1,14,322,0,1,0,0
181,2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,18.8,13.4,16.4,17,377,0,0,0,1
182,2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,25.7,17.8,22.1,13,354,0,1,0,0
183,2014,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,14.3,9.8,12.3,23,283,0,0,1,0
184,2014,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,14.8,10.4,12.8,22,294,0,0,1,0
185,2014,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,13.6,8.6,11.4,25,262,0,0,1,0
186,2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,14.0,9.1,11.8,24,271,0,0,1,0
187,2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,14.8,9.8,12.6,22,290,0,0,0,1
188,2014,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,13.2,8.7,11.2,25,258,0,0,1,0
189,2014,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,14.2,8.6,11.7,24,269,0,0,1,0
190,2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,12.7,7.9,10.5,27,242,0,0,1,0
191,2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,15.3,9.8,12.8,22,294,0,0,0,1
192,2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,15.0,9.9,12.7,22,292,0,0,0,1
193,2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,19.7,12.9,16.6,17,382,0,0,0,1
194,2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,16.7,12.5,14.8,19,340,0,0,0,1
195,2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,14.9,8.5,12.0,24,276,0,0,0,1
196,2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,13.7,8.2,11.2,25,258,0,0,0,1
197,2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,9.1,6.3,7.8,36,179,0,0,1,0
198,2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,9.1,6.3,7.8,36,179,0,0,1,0
199,2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,10.5,6.7,8.8,32,202,0,0,1,0
200,2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,9.5,6.5,8.2,34,189,0,0,1,0
201,2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,8.7,5.1,7.1,40,192,1,0,0,0
202,2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,9.1,6.0,7.7,37,177,0,0,1,0
203,2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,8.4,5.6,7.1,40,163,0,0,1,0
204,2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,10.5,7.3,9.1,31,209,0,0,1,0
205,2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,13.9,9.6,12.0,24,276,0,0,1,0
206,2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,18.8,13.1,16.2,17,259,0,1,0,0
207,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,11.5,8.2,10.0,28,230,0,0,1,0
208,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,14.8,9.9,12.6,22,290,0,0,1,0
209,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,19.8,13.6,17.0,17,272,0,1,0,0
210,2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,17.1,12.7,15.1,19,347,0,0,1,0
211,2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,18.0,13.4,15.9,18,366,0,0,1,0
212,2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,23.5,17.7,20.9,14,334,0,1,0,0
213,2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,18.3,14.2,16.5,17,380,0,0,1,0
214,2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,23.7,18.8,21.5,13,344,0,1,0,0
215,2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,18.6,13.9,16.5,17,380,0,0,1,0
216,2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,23.9,18.5,21.5,13,344,0,1,0,0
217,2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,18.3,14.2,16.5,17,380,0,0,1,0
218,2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,25.3,19.3,22.6,12,362,0,1,0,0
219,2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,18.6,13.9,16.5,17,380,0,0,1,0
220,2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,23.9,18.5,21.5,13,344,0,1,0,0
